name;country;type;year;source
Sound Recorder;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Super Cleaner;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Virus Cleaner 2019;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
File Manager;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Joy Launcher;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Turbo Browser;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Weather Forecast;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Candy Selfie Camera;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Hi VPN, Free VPN;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Candy Gallery;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Calendar Lite;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Super Battery;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Hi Security 2019;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Net Master;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Puzzle Box;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Private Browser;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Hi VPN Pro;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
World Zoo;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Word Crossy!;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Soccer Pinball;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Dig it;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Laser Break;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Music Roam;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Word Crush;China;spy malware;2020;https://www.androidpolice.com/2020/02/05/beware-uk-play-store-top-apps-scam/
Shoot Clean;China;ads Malware;2020;https://www.newsweek.com/android-malware-ad-fraud-trend-micro-google-play-store-mobile-apps-china-1486212?
Super Clean Lite;China;ads Malware;2020;https://www.newsweek.com/android-malware-ad-fraud-trend-micro-google-play-store-mobile-apps-china-1486212?
LinkWorldVPN;China;ads Malware;2020;https://www.newsweek.com/android-malware-ad-fraud-trend-micro-google-play-store-mobile-apps-china-1486212?
Speed Clean;China;ads Malware;2020;https://www.newsweek.com/android-malware-ad-fraud-trend-micro-google-play-store-mobile-apps-china-1486212?
Rocket Cleaner Lite;China;ads Malware;2020;https://www.newsweek.com/android-malware-ad-fraud-trend-micro-google-play-store-mobile-apps-china-1486212?
Rocket Cleaner;China;ads Malware;2020;https://www.newsweek.com/android-malware-ad-fraud-trend-micro-google-play-store-mobile-apps-china-1486212?
Quick Games;China;ads Malware;2020;https://www.newsweek.com/android-malware-ad-fraud-trend-micro-google-play-store-mobile-apps-china-1486212?
Super Clean-Phone;China;ads Malware;2020;https://www.newsweek.com/android-malware-ad-fraud-trend-micro-google-play-store-mobile-apps-china-1486212?
H5 gamebox;China;ads Malware;2020;https://www.newsweek.com/android-malware-ad-fraud-trend-micro-google-play-store-mobile-apps-china-1486212?
